,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
35,5156114585095748,5659598386,25年04月17日 09:09,"回复<a href=/n/杂学家许公子 usercard=""name=@杂学家许公子"">@杂学家许公子</a>:我自己也解决不了，顺带着连自己也骂，骂完不妨碍我们四个高高兴兴去大吃大喝<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自宁夏,5156346070303293,0,回复@杂学家许公子:我自己也解决不了，顺带着连自己也骂，骂完不妨碍我们四个高高兴兴去大吃大喝[笑cry],2377854345,李靖夜奔,https://weibo.com/u/2377854345,原@小课堂,宁夏 银川,m,569,609,1376,nan,nan,nan,nan,nan
36,5156127579308757,5659598386,25年04月17日 01:15,没有意义，不需要去寻找什么意义，内心安宁就够。,来自上海,5156226862417104,17,没有意义，不需要去寻找什么意义，内心安宁就够。,2129730292,Annvinana,https://weibo.com/u/2129730292,社恐无法治愈，只能做网友。,上海,f,266,438,2702,648,171,91,910,nan
37,5156127579308757,5659598386,25年04月16日 23:07,人生没什么一定要证明的，控制好自己欲望,来自广东,5156194482130135,6,人生没什么一定要证明的，控制好自己欲望,7889848096,心安呀呀呀47233,https://weibo.com/u/7889848096,,其他,m,2,141,0,0,0,0,0,nan
38,5143716152476490,3517964605,25年03月13日 12:52,"挺无语的吧<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自四川,5143718509675325,0,挺无语的吧[笑cry],3517964605,Hedy薇薇123霓22,https://weibo.com/u/3517964605,喜欢自己喜欢的，追随自己的内心 ！爱你哟！小紫！,四川,f,14601,4129,9124,"447,670","5,202","355,913","808,785",娱乐博主 超话创作官（杨紫超话） 微博剪辑视频博主
39,5143715740647769,3517964605,25年03月13日 12:52,确实如此,来自四川,5143718525929950,0,确实如此,3517964605,Hedy薇薇123霓22,https://weibo.com/u/3517964605,喜欢自己喜欢的，追随自己的内心 ！爱你哟！小紫！,四川,f,14601,4129,9124,"447,670","5,202","355,913","808,785",娱乐博主 超话创作官（杨紫超话） 微博剪辑视频博主
40,5143715397763954,3517964605,25年03月13日 12:52,真的对吧,来自四川,5143718546902311,0,真的对吧,3517964605,Hedy薇薇123霓22,https://weibo.com/u/3517964605,喜欢自己喜欢的，追随自己的内心 ！爱你哟！小紫！,四川,f,14601,4129,9124,"447,670","5,202","355,913","808,785",娱乐博主 超话创作官（杨紫超话） 微博剪辑视频博主
41,5143715087388897,3517964605,25年03月13日 12:52,"对呀<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自四川,5143718566826656,0,对呀[允悲],3517964605,Hedy薇薇123霓22,https://weibo.com/u/3517964605,喜欢自己喜欢的，追随自己的内心 ！爱你哟！小紫！,四川,f,14601,4129,9124,"447,670","5,202","355,913","808,785",娱乐博主 超话创作官（杨紫超话） 微博剪辑视频博主
42,5143717939249775,3517964605,25年03月13日 12:52,看着确实来气，谁看了都一样,来自四川,5143718634457442,0,看着确实来气，谁看了都一样,3517964605,Hedy薇薇123霓22,https://weibo.com/u/3517964605,喜欢自己喜欢的，追随自己的内心 ！爱你哟！小紫！,四川,f,14601,4129,9124,"447,670","5,202","355,913","808,785",娱乐博主 超话创作官（杨紫超话） 微博剪辑视频博主
43,5145139832949449,2275284204,25年03月17日 11:22,"图片评论 <a target=""_blank"" data-pid=79a38849ly1hzitpu25k9g204l04htky  href=""https://wx2.sinaimg.cn/large/79a38849ly1hzitpu25k9g204l04htky.gif""><img class=""icon-link"" title=""http://t.cn/A6BSiZCO"" src=""https://h5.sinaimg.cn/upload/2015/01/21/20/timeline_card_small_photo_default.png""/>查看图片</a>",来自澳大利亚,5145145626070787,0,图片评论 http://t.cn/A6BSiZCO,2275284204,少年伯爵,https://weibo.com/u/2275284204,In the noisy confusion of life keep peace with your soul.,海外 澳大利亚,m,1078047,890,13982,"506,244","1,352,132","4,386,353","6,244,729",科学科普博主
44,5145160972243700,2275284204,25年03月17日 13:08,是的,来自澳大利亚,5145172096057517,1,是的,2275284204,少年伯爵,https://weibo.com/u/2275284204,In the noisy confusion of life keep peace with your soul.,海外 澳大利亚,m,1077956,890,13982,"506,244","1,352,132","4,386,353","6,244,729",科学科普博主
45,5145159219284852,2275284204,25年03月17日 13:08,"<img alt=""[赞啊]"" title=""[赞啊]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/00/lxhzan_thumb.gif"" /><img alt=""[赞啊]"" title=""[赞啊]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/00/lxhzan_thumb.gif"" />",来自澳大利亚,5145172107595390,0,[赞啊][赞啊],2275284204,少年伯爵,https://weibo.com/u/2275284204,In the noisy confusion of life keep peace with your soul.,海外 澳大利亚,m,1077956,890,13982,"506,244","1,352,132","4,386,353","6,244,729",科学科普博主
46,5145139355322620,2275284204,25年03月17日 11:22,是的，层出不穷的诈骗,来自澳大利亚,5145145448858252,0,是的，层出不穷的诈骗,2275284204,少年伯爵,https://weibo.com/u/2275284204,In the noisy confusion of life keep peace with your soul.,海外 澳大利亚,m,1077956,890,13982,"506,244","1,352,132","4,386,353","6,244,729",科学科普博主
47,5145145087364802,2275284204,25年03月17日 11:22,"<img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" />",来自澳大利亚,5145145536154920,0,[苦涩],2275284204,少年伯爵,https://weibo.com/u/2275284204,In the noisy confusion of life keep peace with your soul.,海外 澳大利亚,m,1077956,890,13982,"506,244","1,352,132","4,386,353","6,244,729",科学科普博主
48,5145152688489945,2275284204,25年03月17日 13:08,"<img alt=""[赞啊]"" title=""[赞啊]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/00/lxhzan_thumb.gif"" /><img alt=""[赞啊]"" title=""[赞啊]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/00/lxhzan_thumb.gif"" />",来自澳大利亚,5145172141408379,0,[赞啊][赞啊],2275284204,少年伯爵,https://weibo.com/u/2275284204,In the noisy confusion of life keep peace with your soul.,海外 澳大利亚,m,1077956,890,13982,"506,244","1,352,132","4,386,353","6,244,729",科学科普博主
49,5145140688852659,2275284204,25年03月17日 11:22,"<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />",来自澳大利亚,5145145503386039,0,[赞],2275284204,少年伯爵,https://weibo.com/u/2275284204,In the noisy confusion of life keep peace with your soul.,海外 澳大利亚,m,1077956,890,13982,"506,244","1,352,132","4,386,353","6,244,729",科学科普博主
50,5145143007511793,2275284204,25年03月17日 14:34,疑似陕西网友食用过多油泼面晕碳后的幻想,来自江苏,5145193784803838,1,疑似陕西网友食用过多油泼面晕碳后的幻想,7028126176,小心眼的何宝廷,https://weibo.com/u/7028126176,那年春天我全副武装,江苏 南京,f,84,228,372,313,214,723,"1,250",nan
51,5121954815673995,3536826167,25年01月12日 12:00,"话这么说没错，反过来看看女方条件也不咋地啊<img alt=""[思考]"" title=""[思考]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/30/2018new_sikao_org.png"" />所以门当户对很重要，不管男女都没有扶贫的必要<img alt=""[偷笑]"" title=""[偷笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/71/2018new_touxiao_org.png"" />",来自陕西,5121962286256090,5,话这么说没错，反过来看看女方条件也不咋地啊[思考]所以门当户对很重要，不管男女都没有扶贫的必要[偷笑],7745697997,芭比拉波比巴卜,https://weibo.com/u/7745697997,,陕西,m,91,48,43,88,0,136,224,nan
